fighter,mma_record,height,weight,reach,stance,dob,sig_str_per_min,sig_str_acc,sig_str_absorbed_per_min,sig_str_def,td_avg,td_acc,td_def,sub_avg
Aaron Riley,Record: 30-14-1,172.7,Lightweight,175.3,Southpaw,1980-12-09,3.45,34%,3.78,61%,1.18,34%,60%,0.1
Aaron Rosa,Record: 18-6-0,193.0,Lightheavyweight,195.6,Orthodox,1983-05-28,4.03,47%,4.41,45%,0.36,33%,85%,0.4
Aaron Simpson,Record: 12-5-0,182.9,Welterweight,185.4,Orthodox,1974-07-20,3.60,52%,2.53,56%,3.78,34%,83%,0.5
Aaron Trujillo,Record: 0-1-0,165.1,Flyweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Aaron Wetherspoon,Record: 9-5-0 (1 NC),,Welterweight,,,,2.27,32%,4.33,45%,0.00,0%,77%,0.0
Aaron Wilkinson,Record: 11-7-0,177.8,Lightweight,,,1987-01-31,0.00,0%,0.00,100%,7.32,100%,0%,0.0
Abdul Azeem Badakhshi,Record: 13-3-0,,Featherweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Abdul Razak Alhassan,Record: 12-5-0,177.8,Middleweight,185.4,Orthodox,1985-08-11,3.54,48%,4.02,55%,0.97,38%,52%,0.0
Abdul-Kareem Al-Selwady,Record: 14-3-0,,Lightweight,,,1995-04-10,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Abdul-Kerim Edilov,Record: 17-4-0,188.0,Lightheavyweight,,Orthodox,1991-11-25,10.22,61%,0.13,92%,3.98,100%,0%,2.0
Abel Cullum,Record: 20-6-0,170.2,Bantamweight,,Orthodox,1987-04-21,1.82,40%,1.23,46%,4.01,52%,0%,2.8
Abel Trujillo,Record: 15-8-0 (1 NC),172.7,Lightweight,177.8,Orthodox,1983-09-18,2.65,41%,2.31,59%,2.18,45%,40%,0.4
Abner Lloveras,Record: 20-9-1,180.3,Lightweight,,,1982-09-04,6.27,49%,6.87,43%,2.00,20%,0%,0.0
Abongo Humphrey,Record: 7-3-0,180.3,Lightheavyweight,,Orthodox,,1.45,40%,3.83,46%,1.41,37%,33%,3.8
Abram Torres,Record: 4-3-0,177.8,Welterweight,,,1982-10-29,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Abu Azaitar,Record: 14-3-1,175.3,Middleweight,193.0,Orthodox,1986-03-10,5.21,44%,5.35,50%,0.50,25%,40%,0.0
Abubakar Nurmagomedov,Record: 17-4-1,180.3,Welterweight,182.9,Orthodox,1989-11-13,2.78,53%,2.61,65%,1.25,22%,88%,0.0
Abus Magomedov,Record: 25-4-1,188.0,Middleweight,198.1,Orthodox,1990-09-02,22.11,100%,0.00,100%,0.00,0%,0%,0.0
Acacio Dos Santos,Record: 14-5-0,193.0,Lightheavyweight,200.7,Orthodox,1991-09-29,1.27,41%,1.40,43%,0.00,0%,31%,0.0
Achilles Estremadura,Record: 7-1-0,177.8,Lightweight,172.7,Orthodox,1992-03-11,3.20,43%,3.27,70%,0.00,0%,0%,0.0
Achmed Labasanov,Record: 7-4-0,190.5,Lightheavyweight,,Orthodox,1978-04-24,0.75,39%,1.10,46%,3.00,100%,0%,0.8
Adam Antolin,Record: 12-3-0,165.1,Flyweight,160.0,Orthodox,1982-02-28,5.73,52%,5.00,69%,0.00,0%,100%,0.0
Adam Cella,Record: 6-8-0,188.0,Welterweight,,,1985-06-26,1.91,42%,2.61,51%,3.92,75%,50%,1.3
Adam Fugitt,Record: 9-4-0,185.4,Welterweight,195.6,Southpaw,1989-01-12,4.30,54%,5.13,48%,3.43,33%,50%,0.0
Adam Hunter,Record: 7-1-0,185.4,Middleweight,,Orthodox,1983-10-16,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Adam Khaliev,Record: 6-0-0,182.9,Welterweight,,Orthodox,1984-04-16,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Adam Lynn,Record: 17-10-0 (1 NC),177.8,Lightweight,,Orthodox,,1.47,63%,6.95,10%,0.00,0%,50%,0.0
Adam Meredith,Record: 5-3-0,188.0,Welterweight,,,,2.63,50%,2.11,55%,7.89,100%,100%,7.9
Adam Milstead,Record: 8-4-0,190.5,Lightheavyweight,193.0,Orthodox,1987-07-03,3.85,46%,4.79,43%,0.00,0%,64%,0.0
Adam Piccolotti,Record: 9-0-0,180.3,Lightweight,,,1988-10-23,4.61,50%,2.83,71%,2.96,60%,100%,3.0
Adam Schindler,Record: 10-6-0,172.7,Lightweight,,,1983-05-19,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Adam Smith,Record: 0-3-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Adam Steele,Record: 0-1-0,,Welterweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Adam Wieczorek,Record: 10-2-0,195.6,Heavyweight,205.7,Orthodox,1992-02-05,1.68,38%,1.87,48%,0.41,33%,58%,0.4
Adam Yandiev,Record: 9-1-0,175.3,Middleweight,188.0,Orthodox,1988-08-07,0.18,8%,6.14,36%,0.00,0%,25%,0.0
Adin Duenas,Record: 6-1-0,167.6,Featherweight,,,1988-07-02,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Adlan Amagov,Record: 14-2-1,188.0,Welterweight,193.0,Orthodox,1986-10-30,3.29,47%,0.82,78%,5.84,56%,100%,0.0
Adli Edwards,Record: 4-1-0,,Featherweight,,,1989-08-28,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Adrian Diaz,Record: 11-4-1,177.8,Featherweight,,Southpaw,1988-04-26,0.48,42%,3.84,51%,2.40,50%,0%,0.0
Adrian Serrano,Record: 56-29-4,172.7,Welterweight,,,1963-12-23,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Adrian Yanez,Record: 16-4-0,170.2,Bantamweight,177.8,Orthodox,1993-11-29,6.75,40%,5.89,59%,0.00,0%,100%,0.0
Adriano Martins,Record: 28-9-0,177.8,Lightweight,182.9,Southpaw,1982-12-16,1.80,38%,2.14,65%,0.83,80%,81%,0.4
Adriano Santos,Record: 0-1-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Adrienna Jenkins,Record: 19-6-0,172.7,Featherweight,,,1981-07-22,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ahmad Hassanzada,Record: 10-2-0,185.4,Lightweight,190.5,Orthodox,1996-11-20,2.59,34%,4.42,40%,2.50,22%,0%,0.0
Aiemann Zahabi,Record: 10-2-0,172.7,Bantamweight,172.7,Orthodox,1987-11-19,3.04,43%,3.40,72%,0.25,16%,75%,0.0
Ailin Perez,Record: 7-2-0,165.1,Bantamweight,167.6,Switch,1994-10-05,1.62,47%,1.52,31%,1.52,33%,71%,0.0
Ailiya Muratbek,Record: 9-2-0,,Lightweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Aisling Daly,Record: 16-6-0,157.5,Flyweight,162.6,Orthodox,1987-12-24,2.92,52%,1.40,55%,2.15,41%,33%,0.9
Aji Susilo,Record: 6-4-0,177.8,Lightweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Akbarh Arreola,Record: 23-11-1,177.8,Lightweight,180.3,Southpaw,1983-01-14,2.32,45%,4.01,56%,1.07,100%,33%,0.4
Akihiro Gono,Record: 35-21-8,170.2,Welterweight,172.7,Switch,1974-10-07,2.18,48%,2.67,63%,1.01,84%,46%,0.5
Akihito Tanaka,Record: 2-2-0,,,,Southpaw,,0.19,50%,2.05,38%,5.59,66%,0%,0.0
Akira Corassani,Record: 12-6-0 (1 NC),172.7,Featherweight,172.7,Orthodox,1982-08-27,3.25,45%,4.91,50%,0.70,28%,86%,0.0
Akira Kikuchi,Record: 16-4-0,172.7,Lightweight,,Orthodox,1978-07-23,3.67,56%,0.40,14%,2.00,40%,100%,0.0
Akira Shoji,Record: 14-17-5,172.7,Middleweight,,Orthodox,1974-01-31,1.03,34%,2.63,53%,1.79,73%,82%,0.4
Akitoshi Tamura,Record: 21-18-2,175.3,Bantamweight,177.8,Orthodox,1980-05-31,3.73,43%,1.94,78%,0.00,0%,20%,1.0
Akiyo Nishiura,Record: 13-8-1,172.7,Bantamweight,,Southpaw,1983-08-08,1.59,57%,1.26,57%,0.00,0%,52%,0.3
Al Iaquinta,Record: 14-7-1,177.8,Lightweight,177.8,Orthodox,1987-04-30,4.06,40%,4.53,61%,0.63,18%,74%,0.2
Al Matavao,Record: 8-3-0,172.7,Lightheavyweight,170.2,Orthodox,1994-02-23,7.84,46%,6.70,58%,0.00,0%,0%,0.0
Alan Baudot,Record: 8-4-0 (1 NC),190.5,Heavyweight,200.7,Orthodox,1988-02-01,5.36,58%,4.82,46%,0.00,0%,62%,0.0
Alan Belcher,Record: 18-8-0,188.0,Middleweight,190.5,Orthodox,1984-04-24,2.70,41%,3.10,59%,0.44,26%,55%,0.9
Alan Gomez,Record: 2-0-0,,Lightweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alan Hiro,Record: 14-5-4,165.1,Bantamweight,,Orthodox,1986-04-04,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alan Jouban,Record: 17-7-0,182.9,Welterweight,185.4,Southpaw,1981-11-25,5.67,50%,3.77,60%,0.51,44%,58%,0.3
Alan Omer,Record: 20-5-0,177.8,Featherweight,,Orthodox,1988-09-14,3.49,55%,2.21,64%,1.69,42%,66%,0.0
Alan Patrick,Record: 15-4-0 (1 NC),180.3,Lightweight,188.0,Southpaw,1983-07-19,1.82,40%,2.95,43%,3.01,33%,43%,0.3
Alatengheili,Record: 16-8-2,165.1,Bantamweight,167.6,Orthodox,1991-12-14,2.94,33%,4.58,61%,1.78,39%,72%,0.0
Alavutdin Gadjiev,Record: 18-13-1,188.0,Middleweight,,Orthodox,1982-06-23,0.99,27%,0.99,57%,0.00,0%,50%,0.0
Albert Cheng,Record: 7-4-0,180.3,Welterweight,,Orthodox,1985-02-07,1.00,41%,2.60,71%,0.00,0%,0%,0.0
Albert Duraev,Record: 16-4-0,180.3,Middleweight,190.5,Orthodox,1989-01-05,2.94,40%,2.53,63%,2.07,27%,50%,0.7
Albert Morales,Record: 7-4-1,175.3,Bantamweight,182.9,Orthodox,1991-05-25,3.81,35%,3.96,56%,0.91,35%,70%,0.2
Albert Rios,Record: 13-6-0,172.7,Featherweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Albert Tumenov,Record: 18-4-0,180.3,Welterweight,185.4,Orthodox,1991-12-26,3.76,42%,3.34,58%,0.20,20%,75%,0.0
Alberta Cerra Leon,Record: 0-1-0,172.7,Heavyweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alberto Crane,Record: 15-5-0,165.1,Lightweight,,Orthodox,1976-07-14,0.43,25%,2.61,57%,0.00,0%,50%,4.0
Alberto Mina,Record: 13-1-0,182.9,Welterweight,195.6,Orthodox,1982-05-02,3.23,38%,3.70,47%,1.85,20%,50%,0.0
Alberto Montes,Record: 4-0-0,170.2,Bantamweight,,,1994-05-31,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alberto Uda,Record: 12-2-0,190.5,Middleweight,,Orthodox,1984-08-08,1.79,52%,3.49,45%,2.83,50%,66%,0.0
Alejandro Flores,Record: 17-3-0,177.8,Featherweight,185.4,Orthodox,1991-08-06,3.66,40%,2.02,54%,0.00,0%,0%,0.0
Alejandro Garcia,Record: 14-10-0 (1 NC),170.2,Featherweight,,,,1.22,62%,1.14,65%,8.55,87%,66%,0.0
Alejandro Perez,Record: 23-9-1,167.6,Bantamweight,170.2,Orthodox,1989-09-02,3.45,35%,3.18,61%,0.54,22%,70%,0.3
Alejandro Villalobos,Record: 17-5-0,170.2,Featherweight,,,1979-10-26,3.93,46%,4.07,67%,1.00,50%,0%,0.0
Aleksa Camur,Record: 6-2-0,185.4,Lightheavyweight,188.0,Orthodox,1995-09-25,4.78,59%,3.15,60%,0.59,25%,50%,0.0
Aleksandar Rakic,Record: 14-3-0,193.0,Lightheavyweight,198.1,Orthodox,1992-02-06,4.01,50%,2.30,53%,0.82,25%,90%,0.2
Aleksander Emelianenko,Record: 23-7-0,198.1,Heavyweight,,Orthodox,1981-08-02,2.75,41%,1.70,65%,2.32,72%,66%,0.9
Aleksandra Albu,Record: 3-2-0,157.5,Flyweight,160.0,Orthodox,1990-07-14,4.83,47%,5.56,38%,2.27,50%,77%,0.4
Aleksei Kunchenko,Record: 20-2-0,172.7,Welterweight,177.8,Orthodox,1984-05-02,3.67,44%,2.83,63%,0.25,33%,80%,0.0
Aleksei Oleinik,Record: 60-17-1,188.0,Heavyweight,203.2,Orthodox,1977-06-20,3.29,48%,3.80,44%,1.82,46%,37%,1.9
Alen Amedovski,Record: 8-4-0,177.8,Middleweight,188.0,Orthodox,1988-04-06,0.99,30%,3.85,46%,0.00,0%,0%,0.0
Alessandro Costa,Record: 13-3-0,162.6,Flyweight,170.2,Orthodox,1996-01-28,3.82,43%,3.01,63%,0.00,0%,91%,0.0
Alessio Di Chirico,Record: 13-7-0,182.9,Middleweight,188.0,Orthodox,1989-12-12,3.32,39%,3.44,61%,1.46,39%,83%,0.0
Alessio Sakara,Record: 19-11-0 (2 NC),182.9,Middleweight,182.9,Orthodox,1981-09-02,3.96,47%,2.80,59%,2.18,78%,62%,0.0
Alex Andrade,Record: 10-5-0,180.3,Middleweight,,Orthodox,1974-05-14,0.20,36%,2.60,53%,0.00,0%,25%,0.8
Alex Caceres,Record: 21-13-0 (1 NC),177.8,Featherweight,185.4,Southpaw,1988-06-20,4.16,51%,2.87,63%,0.59,68%,64%,0.7
Alex Chambers,Record: 5-5-0,160.0,Flyweight,160.0,Southpaw,1978-10-25,2.97,54%,5.10,50%,2.31,41%,53%,1.0
Alex Crispin,Record: 0-1-0,,Lightweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alex Da Silva,Record: 21-4-0,172.7,Lightweight,185.4,Orthodox,1996-02-04,2.14,46%,2.52,56%,1.97,43%,76%,0.3
Alex Dunworth,Record: 2-2-0 (1 NC),172.7,Lightweight,,,,1.94,31%,8.71,35%,0.00,0%,50%,0.0
Alex Enlund,Record: 14-2-0 (1 NC),177.8,Featherweight,,Orthodox,1987-05-27,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alex Garcia,Record: 15-6-0,175.3,Welterweight,182.9,Orthodox,1987-07-14,1.81,31%,3.03,59%,3.72,52%,66%,0.1
Alex Gilpin,Record: 11-1-0,170.2,Featherweight,,Orthodox,1992-03-26,6.80,54%,12.29,42%,2.17,25%,0%,2.2
Alex Gorgees,Record: 6-1-0,188.0,Lightweight,188.0,Switch,1995-08-11,0.67,32%,2.27,38%,0.00,0%,54%,0.0
Alex Higley,Record: 4-3-0,177.8,Featherweight,,,,0.29,100%,1.74,60%,0.00,0%,0%,0.0
Alex Huddleston,Record: 6-2-0,200.7,Heavyweight,,,1986-08-11,2.47,42%,2.59,67%,0.00,0%,0%,0.9
Alex Hunter,Record: 2-0-0,175.3,Heavyweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alex Karalexis,Record: 10-6-0,172.7,Lightweight,167.6,Orthodox,1977-09-20,2.57,42%,2.39,54%,2.70,45%,86%,0.9
Alex Morono,Record: 23-8-0 (1 NC),180.3,Welterweight,182.9,Orthodox,1990-08-16,5.20,42%,4.14,57%,0.29,20%,50%,0.4
Alex Nicholson,Record: 7-4-0,193.0,Middleweight,195.6,Orthodox,1990-05-02,4.12,43%,4.65,47%,0.00,0%,50%,0.5
Alex Oliveira,Record: 22-12-1 (2 NC),180.3,Welterweight,193.0,Orthodox,1988-02-21,2.99,51%,2.55,46%,2.35,38%,63%,0.6
Alex Pereira,Record: 7-2-0,193.0,Lightheavyweight,200.7,Orthodox,1987-07-07,5.23,59%,3.76,54%,0.28,100%,73%,0.0
Alex Perez,Record: 24-7-0,167.6,Flyweight,165.1,Orthodox,1992-03-21,4.67,48%,3.14,60%,2.84,44%,77%,1.3
Alex Reyes,Record: 13-3-0,180.3,Welterweight,185.4,Orthodox,1986-10-02,4.56,46%,8.35,38%,0.00,0%,0%,0.0
Alex Ricci,Record: 10-5-0,180.3,Lightweight,,Orthodox,1982-07-21,2.48,41%,2.53,64%,0.00,0%,64%,0.0
Alex Schoenauer,Record: 15-10-0,190.5,Middleweight,,Orthodox,1976-05-05,1.22,40%,2.27,42%,0.00,0%,22%,4.9
Alex Serdyukov,Record: 8-5-0,188.0,Welterweight,188.0,Orthodox,1980-05-24,4.94,48%,3.10,46%,1.84,55%,67%,1.8
Alex Soto,Record: 8-3-1,172.7,Bantamweight,,Southpaw,1984-02-15,2.95,25%,5.02,59%,2.82,30%,0%,0.0
Alex Stiebling,Record: 19-11-1 (1 NC),188.0,Lightheavyweight,,Southpaw,,1.77,42%,1.45,52%,0.35,66%,66%,0.7
Alex Torres,Record: 5-4-0,177.8,Featherweight,,Orthodox,1988-05-29,2.47,37%,2.73,69%,2.00,22%,50%,0.0
Alex White,Record: 13-6-0,182.9,Lightweight,180.3,Southpaw,1988-10-22,3.76,42%,3.07,60%,0.92,28%,71%,0.5
Alex Zuniga,Record: 6-3-0,,Featherweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alexa Grasso,Record: 16-3-0,165.1,Flyweight,167.6,Orthodox,1993-08-09,4.88,43%,4.07,59%,0.38,44%,61%,0.6
Alexander Crispim,Record: 8-6-0,,Featherweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alexander Gustafsson,Record: 18-8-0,195.6,Lightheavyweight,200.7,Orthodox,1987-01-15,4.03,40%,3.53,51%,1.53,39%,83%,0.4
Alexander Hernandez,Record: 14-6-0,175.3,Lightweight,182.9,Orthodox,1992-10-01,4.57,40%,4.53,56%,1.38,32%,63%,0.1
Alexander Morgan,Record: 11-5-0,177.8,Featherweight,180.3,Orthodox,1991-05-14,3.71,44%,2.78,47%,0.00,0%,0%,0.0
Alexander Munoz,Record: 6-2-0,175.3,Lightweight,182.9,Switch,1990-02-27,3.96,43%,5.49,52%,3.00,39%,0%,0.0
Alexander Otsuka,Record: 5-13-0,185.4,Lightheavyweight,,Orthodox,1971-07-17,0.90,55%,1.16,51%,1.51,43%,53%,0.8
Alexander Poppeck,Record: 9-3-0,188.0,Lightheavyweight,,Orthodox,1992-04-06,4.01,57%,9.81,33%,0.00,0%,0%,0.0
Alexander Sarnavskiy,Record: 35-6-0,180.3,Lightweight,,,1989-01-17,1.43,66%,2.06,42%,0.00,0%,75%,0.0
Alexander Shlemenko,Record: 56-9-0 (1 NC),180.3,Middleweight,,,1984-05-20,4.36,60%,1.71,63%,0.00,0%,0%,0.0
Alexander Trevino,Record: 7-7-0,,Welterweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alexander Volkanovski,Record: 25-2-0,167.6,Featherweight,180.3,Orthodox,1988-09-29,6.35,56%,3.40,59%,1.52,34%,69%,0.2
Alexander Volkov,Record: 36-10-0,200.7,Heavyweight,203.2,Orthodox,1988-10-24,4.89,57%,3.00,53%,0.51,70%,73%,0.1
Alexander Yakovlev,Record: 24-10-1,190.5,Lightweight,188.0,Southpaw,1984-07-18,1.74,47%,2.41,58%,1.66,35%,72%,0.1
Alexandr Romanov,Record: 16-2-0,188.0,Heavyweight,190.5,Southpaw,1990-12-11,3.62,50%,2.00,46%,4.96,52%,20%,1.1
Alexandre Barros,Record: 22-11-0,175.3,Welterweight,,Southpaw,1976-11-19,0.98,40%,4.05,36%,1.84,50%,100%,0.0
Alexandre Dantas,Record: 0-3-0,188.0,Heavyweight,,Orthodox,1979-03-01,0.21,25%,1.87,60%,0.00,0%,0%,3.1
Alexandre Ferreira,Record: 18-6-0,170.2,Lightheavyweight,,Orthodox,1979-04-25,2.57,60%,8.14,42%,0.00,0%,0%,0.0
Alexandre Franca Nogueira,Record: 18-6-3,170.2,Featherweight,,Orthodox,1978-01-15,0.60,20%,4.18,57%,0.00,0%,0%,0.0
Alexandre Pantoja,Record: 25-5-0,165.1,Flyweight,170.2,Orthodox,1990-04-16,4.25,48%,3.38,54%,1.37,40%,67%,1.2
Alexandru Lungu,Record: 14-4-0,182.9,Heavyweight,,Orthodox,1974-09-03,3.61,66%,7.22,40%,0.00,0%,0%,0.0
Alexis Davis,Record: 21-11-0,167.6,Bantamweight,172.7,Orthodox,1984-10-04,4.63,49%,4.45,54%,0.95,44%,34%,0.7
Alexis Dufresne,Record: 6-3-0,175.3,Bantamweight,,Orthodox,1990-08-31,1.33,27%,3.33,60%,1.50,50%,50%,0.0
Alfonso Alcarez,Record: 1-3-1,160.0,Featherweight,,,1970-06-10,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alfred Khashakyan,Record: 8-3-0,172.7,Bantamweight,177.8,Orthodox,1988-07-17,6.14,42%,6.38,40%,3.54,25%,0%,0.0
Ali AlQaisi,Record: 8-5-0,167.6,Bantamweight,172.7,Orthodox,1990-09-23,2.43,42%,1.97,56%,3.50,29%,60%,1.0
Ali Bagautinov,Record: 15-6-0,162.6,Flyweight,165.1,Orthodox,1985-06-10,2.85,42%,3.09,52%,2.51,36%,65%,0.3
Aliaskhab Khizriev,Record: 14-0-0,175.3,Middleweight,188.0,Southpaw,1990-08-24,6.03,64%,4.36,62%,5.77,60%,100%,3.9
Aliev Makhmud,Record: 0-1-0,167.6,Middleweight,,Southpaw,1970-02-13,1.12,30%,2.24,36%,2.10,50%,0%,0.0
Alistair Overeem,Record: 47-19-0 (1 NC),193.0,Heavyweight,203.2,Orthodox,1980-05-17,3.67,64%,2.44,57%,1.42,55%,73%,0.8
Aljamain Sterling,Record: 23-3-0,170.2,Bantamweight,180.3,Orthodox,1989-07-31,4.78,52%,2.37,58%,2.02,24%,45%,0.8
Allan Begosso,Record: 7-2-1,165.1,Bantamweight,167.6,Orthodox,1995-11-23,1.80,40%,7.73,34%,0.00,0%,25%,2.0
Allan Goes,Record: 10-5-2,182.9,Lightheavyweight,,Orthodox,1971-04-20,0.64,52%,1.35,41%,1.75,40%,0%,2.6
Allan Nascimento,Record: 20-6-0,172.7,Flyweight,175.3,Orthodox,1991-09-11,3.21,61%,2.28,50%,1.55,26%,16%,0.9
Allan Zuniga,Record: 13-1-0,170.2,Lightweight,177.8,Orthodox,1992-04-04,3.93,52%,1.80,61%,0.00,0%,57%,1.0
Allen Berube,Record: 4-3-0,172.7,Lightweight,,Orthodox,1974-08-25,0.92,80%,0.92,33%,6.87,100%,0%,3.4
Allen Crowder,Record: 10-4-0 (1 NC),190.5,Heavyweight,193.0,Orthodox,1989-11-08,2.95,51%,2.95,56%,1.85,33%,100%,1.2
Alonzo Martinez,Record: 42-20-1,177.8,Lightweight,,,1984-04-22,3.07,27%,7.33,52%,0.00,0%,0%,0.0
Alonzo Menifield,Record: 13-3-1,182.9,Lightheavyweight,193.0,Orthodox,1987-10-18,3.88,57%,3.04,52%,0.67,30%,75%,0.2
Alptekin Ozkilic,Record: 9-5-0,165.1,Flyweight,165.1,Orthodox,1986-03-27,3.81,32%,5.72,59%,4.21,58%,75%,0.0
Alton Cunningham,Record: 4-2-0,188.0,Lightheavyweight,195.6,Orthodox,1993-06-24,3.33,75%,4.94,20%,1.67,10%,100%,0.0
Alvaro Herrera Mendoza,Record: 9-6-0,182.9,Lightweight,188.0,Orthodox,1990-05-14,1.89,38%,3.40,55%,0.00,0%,33%,1.1
Alvin Cacdac,Record: 18-13-0,167.6,Flyweight,,Orthodox,,1.21,66%,0.61,0%,0.00,0%,0%,0.0
Alvin Robinson,Record: 15-9-0,175.3,Lightweight,172.7,Southpaw,1982-07-16,1.57,50%,1.29,51%,1.24,50%,25%,1.2
Amador Ramirez,Record: 5-4-0,,Bantamweight,,,1990-06-14,4.93,51%,2.07,69%,1.00,33%,0%,0.0
Amanda Cooper,Record: 3-5-0,160.0,Flyweight,162.6,Switch,1991-10-22,3.55,44%,3.20,51%,1.53,38%,28%,1.8
Amanda Lemos,Record: 13-2-1,162.6,Flyweight,165.1,Southpaw,1987-05-22,4.51,57%,3.97,50%,1.12,55%,81%,0.7
Amanda Nunes,Record: 23-5-0,172.7,Bantamweight,175.3,Orthodox,1988-05-30,4.55,51%,2.62,57%,2.73,54%,82%,0.7
Amanda Ribas,Record: 11-3-0,160.0,Flyweight,167.6,Orthodox,1993-08-26,4.80,42%,2.65,69%,2.16,52%,88%,1.0
Amar Suloev,Record: 24-7-0,175.3,Welterweight,,Orthodox,1976-07-01,1.98,37%,2.19,70%,0.27,100%,88%,0.3
Amaury Bitetti,Record: 5-2-0,175.3,Middleweight,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Amber Tackett,Record: 1-3-0,,Flyweight,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Amilcar Alves,Record: 15-12-0,182.9,Welterweight,,Southpaw,1988-08-08,0.50,46%,2.02,30%,0.00,0%,53%,0.0
Amir Albazi,Record: 17-1-0,165.1,Flyweight,172.7,Orthodox,1993-10-27,2.80,39%,3.07,63%,1.71,33%,40%,0.7
Amir Aliakbari,Record: 10-1-0,190.5,Heavyweight,,,1984-06-10,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Amir Rahnavardi,Record: 11-10-0,182.9,Lightheavyweight,,Orthodox,1974-12-07,0.67,25%,0.00,100%,0.00,0%,50%,0.0
Amir Sadollah,Record: 6-5-0,177.8,Welterweight,190.5,Orthodox,1980-08-27,4.71,46%,3.55,60%,0.57,27%,60%,0.3
Amiran Gogoladze,Record: 14-3-0,185.4,Welterweight,188.0,Switch,1997-12-09,1.64,66%,0.82,0%,0.00,0%,0%,0.0
Anatoly Tokov,Record: 25-2-0,177.8,Middleweight,,,1990-02-17,3.51,72%,0.54,66%,2.03,100%,100%,0.0
